Statistics computed over 13 Manual runs.

             NDCG@3		   NDCG@5                NDCG@500               AP@500
Topic  Best  Median Worst    Best  Median Worst    Best  Median  Worst     Best  Median  Worst
121_5  0.5701 0.5701 0.0000  0.4935 0.4935 0.0000  0.4432 0.4432 0.0000   0.1429 0.1429 0.0000
121_6  0.7625 0.6300 0.0000  0.6764 0.5377 0.0000  0.8053 0.7069 0.0922   0.4264 0.2857 0.0143
121_7  0.8520 0.7039 0.0000  0.7910 0.6422 0.0000  0.8549 0.6510 0.0000   0.6608 0.3909 0.0000
121_8  0.8403 0.6806 0.0000  0.8734 0.6488 0.0000  0.8154 0.6950 0.0804   0.7063 0.5113 0.0147
124_1  0.4106 0.1173 0.0000  0.4645 0.1810 0.0000  0.6759 0.5706 0.0176   0.4476 0.3756 0.0024
124_2  0.7779 0.5740 0.0587  0.7648 0.5858 0.0752  0.8144 0.7003 0.2375   0.5515 0.4657 0.1255
124_3  1.0000 0.9013 0.5885  1.0000 0.8869 0.7026  0.6866 0.5798 0.1534   0.3624 0.2610 0.0433
124_4  0.8231 0.6462 0.3129  0.7817 0.6923 0.4110  0.7552 0.6505 0.2719   0.5290 0.3809 0.0918
124_5  0.4134 0.1173 0.0587  0.3856 0.1996 0.0424  0.5937 0.3890 0.1472   0.3811 0.1895 0.0458
124_6  1.0000 0.8240 0.2500  1.0000 0.8057 0.2902  0.7759 0.7142 0.2167   0.4638 0.3748 0.1143
124_7  1.0000 0.8827 0.1760  0.9635 0.8496 0.2330  0.8311 0.7110 0.0971   0.5165 0.4322 0.0556
124_8  1.0000 1.0000 0.4106  0.9635 0.8728 0.4391  0.7764 0.6703 0.1594   0.3808 0.3061 0.0779
124_9  1.0000 0.8827 0.2807  0.9307 0.8264 0.3289  0.8262 0.7023 0.2736   0.5168 0.4258 0.1270
124_10 0.8673 0.6327 0.2654  0.8057 0.6324 0.2544  0.7711 0.7100 0.2671   0.5687 0.5221 0.0561
124_11 1.0000 0.6089 0.0000  0.8638 0.6547 0.0974  0.8286 0.7120 0.0502   0.5832 0.4828 0.0121
125_1  1.0000 1.0000 0.0000  1.0000 1.0000 0.0000  0.9070 0.7994 0.0176   0.6927 0.6268 0.0002
125_2  0.8148 0.7295 0.4058  0.8476 0.6657 0.3047  0.8708 0.8269 0.3499   0.8667 0.7057 0.1667
125_3  1.0000 0.8303 0.3394  1.0000 0.8099 0.2657  0.9597 0.9100 0.4083   0.7795 0.6671 0.1750
125_4  0.5433 0.4693 0.0000  0.4219 0.4037 0.0000  0.5105 0.3627 0.0000   0.2761 0.1018 0.0000
125_5  0.8647 0.5765 0.1707  0.8229 0.7257 0.3229  0.8588 0.8156 0.2726   0.7591 0.6344 0.1510
125_6  0.7985 0.4030 0.0000  0.7019 0.4629 0.0000  0.8003 0.5276 0.0687   0.4546 0.2687 0.0044
127_1  1.0000 0.9218 0.8436  1.0000 0.9076 0.7945  0.8766 0.8287 0.3836   0.6267 0.5654 0.2105
127_2  0.6257 0.3129 0.0987  0.5191 0.3722 0.1200  0.7756 0.5617 0.1966   0.4991 0.2862 0.0832
127_3  1.0000 0.8827 0.2654  1.0000 0.8824 0.2902  0.9111 0.7642 0.1068   0.6412 0.4923 0.0504
127_4  1.0000 0.9260 0.1173  0.9672 0.9100 0.1541  0.9289 0.8756 0.0731   0.7447 0.6431 0.0808
127_5  0.9218 0.9013 0.1564  0.8745 0.6967 0.1182  0.8585 0.7544 0.0754   0.7460 0.5170 0.0653
127_6  0.9214 0.8427 0.0000  0.9398 0.7426 0.0822  0.9026 0.8546 0.2089   0.6859 0.6388 0.0593
127_7  1.0000 1.0000 0.4525  1.0000 0.8688 0.3270  0.9394 0.8084 0.1629   0.7307 0.5286 0.0786
127_8  0.7507 0.4525 0.0000  0.7352 0.4615 0.0000  0.7966 0.6309 0.0587   0.7050 0.5207 0.0032
127_9  0.9377 0.3768 0.0000  0.8267 0.3492 0.0000  0.6892 0.3785 0.1207   0.3446 0.1426 0.0294
128_1  0.6327 0.4567 0.1173  0.6539 0.4846 0.0991  0.6650 0.4894 0.0900   0.4243 0.3162 0.0328
128_2  0.9413 0.8240 0.2961  0.9211 0.8422 0.3124  0.7753 0.6241 0.1895   0.5225 0.3655 0.0515
128_3  0.8647 0.6441 0.4058  0.8154 0.7068 0.4226  0.7143 0.5639 0.2043   0.4116 0.2384 0.0815
129_1  1.0000 0.6173 0.0000  0.7958 0.5622 0.2584  0.6760 0.5127 0.2031   0.3152 0.1966 0.0569
129_2  1.0000 0.8520 0.1480  0.9270 0.8274 0.1070  0.8213 0.7428 0.2064   0.5329 0.4268 0.0818
129_3  0.8240 0.5307 0.0000  0.6376 0.5148 0.0000  0.6937 0.5284 0.0323   0.4282 0.2992 0.0031
129_4  1.0000 1.0000 0.4693  1.0000 0.9672 0.3392  0.8979 0.7871 0.1070   0.6300 0.5523 0.0278
129_5  1.0000 1.0000 0.0000  1.0000 1.0000 0.1312  0.9095 0.8148 0.0284   0.6957 0.5766 0.0035
129_6  1.0000 0.4693 0.0740  0.8688 0.4852 0.1605  0.7439 0.6186 0.1165   0.3796 0.2684 0.0270
129_7  0.8520 0.7346 0.0000  0.7618 0.6187 0.0000  0.8287 0.6859 0.0716   0.5145 0.4070 0.0105
129_8  1.0000 1.0000 0.4260  1.0000 1.0000 0.4539  0.8001 0.7400 0.3350   0.4453 0.3770 0.1508
131_1  0.7779 0.2654 0.0587  0.6881 0.4038 0.0424  0.7794 0.6310 0.1935   0.4746 0.3543 0.0322
131_2  0.6098 0.3902 0.2656  0.6189 0.3769 0.2445  0.7344 0.6742 0.1682   0.5886 0.5148 0.0629
131_3  0.8100 0.4299 0.0000  0.8196 0.3625 0.2371  0.8152 0.6107 0.1863   0.6020 0.3647 0.1028
131_4  0.8929 0.6384 0.0000  0.8590 0.7169 0.0000  0.8517 0.8166 0.0000   0.7834 0.6988 0.0000
131_5  0.9050 0.6652 0.3100  0.8026 0.6985 0.3614  0.8792 0.8294 0.4572   0.6750 0.5184 0.2514
131_6  0.8827 0.7039 0.0000  0.7766 0.5965 0.0000  0.8794 0.7749 0.0422   0.7587 0.5744 0.0060
131_7  0.6232 0.4065 0.2196  0.5723 0.3858 0.2173  0.7933 0.7013 0.3114   0.5903 0.4704 0.1680
131_8  0.6173 0.3520 0.0000  0.6258 0.2722 0.0000  0.7058 0.5511 0.0369   0.3533 0.2411 0.0005
131_9  0.9501 0.0000 0.0000  0.8446 0.0393 0.0000  0.7118 0.2139 0.0000   0.2750 0.0584 0.0000
131_10 0.8131 0.3739 0.0000  0.7788 0.3894 0.0000  0.8468 0.5810 0.0586   0.6165 0.3502 0.0108
